,DATE,TMAX,TMIN,PRCP
0,2001-09-21,238.3650486582326,68.57535970579342,4.253905755441761
1,2001-09-22,235.37784042462042,70.16740070129087,4.074222051616954
2,2001-09-23,232.48092853348527,57.34498888338224,19.256043940810788
3,2001-09-24,243.70546519222316,57.121888033106806,0.35058701171869816
4,2001-09-25,249.91185535592868,54.30119490379695,1.0806032518101836
5,2001-09-26,237.85080529416408,68.4279243473839,1.1801894184369275
6,2001-09-27,260.5661981208561,64.79496015626802,0.943048066322317
7,2001-09-28,249.48450688656402,85.65843005152033,2.4950876143483702
8,2001-09-29,233.6128684219681,74.58309781625861,0.9487470958455536
9,2001-09-30,244.0930705434612,53.99277285395205,0.003759060865990653
10,2001-10-01,259.1241298681981,53.31399161674677,0.23897511924786535
11,2001-10-02,229.00422287266048,52.201924513612205,0.26089446373285485
12,2001-10-03,193.06853061765102,36.16280565534623,0.4210432523367255
13,2001-10-04,145.91603008257997,10.24120736114089,12.211157675351306
14,2001-10-05,133.08052841616458,-33.52195673686042,33.93251833769719
15,2001-10-06,165.94970519033092,-17.43724374471202,1.9935185866964469
16,2001-10-07,174.91523723566596,13.606163628574619,0.38456432397915835
17,2001-10-08,173.48760553282554,39.57697031289265,5.223894780303945
18,2001-10-09,159.79231936005678,38.9269893195502,15.902062580500878
19,2001-10-10,155.57341103412634,24.3235025818018,31.771803831433907
20,2001-10-11,138.2593666441953,18.862003139919842,29.23006271181235
21,2001-10-12,122.37950792911889,12.730383579836959,18.667895305692277
22,2001-10-13,121.25649137944396,24.338811376204102,11.476838691022419
23,2001-10-14,106.8207320463407,5.41623310955757,21.029295154157737
24,2001-10-15,106.69971933617245,-21.172812630143728,19.448890038289417
25,2001-10-16,143.45584127324648,-30.861636187982278,11.76581939816709
26,2001-10-17,153.08204366396325,-3.357380111104481,2.084054471840042
27,2001-10-18,131.91360349365578,-7.015738515150788,1.4361768506635277
28,2001-10-19,131.80044948398597,13.743326474534033,10.246456546027481
29,2001-10-20,140.7693672744822,2.165343386185655,3.6988823875961447
30,2001-10-21,145.67428752558396,-3.982160881017426,3.0553856593361983
31,2001-10-22,141.21000968154658,26.953605496381645,15.28516454173165
32,2001-10-23,130.91665882877626,16.625162674957007,30.132961617199626
33,2001-10-24,89.43103073380642,-10.204141017031608,19.649714003342805
34,2001-10-25,66.24567541835806,-36.3975561601387,8.325206062579001
35,2001-10-26,107.6098010012064,-46.63689106435883,2.434494394883828
36,2001-10-27,155.3525264930395,-12.919271466714791,5.2371808696534465
37,2001-10-28,149.65341827151062,13.921831692660819,10.053712644612126
38,2001-10-29,139.18269997526693,14.885627170596818,3.887845126754888
39,2001-10-30,140.52728816315678,32.288285385178014,8.9034584443087
40,2001-10-31,150.2351830723374,44.746183506477195,16.171504067900983
41,2001-11-01,135.0837152025837,34.3731186615131,8.662138516262075
42,2001-11-02,148.8583972789764,15.356976331595723,4.904304968229582
43,2001-11-03,163.87569793318076,16.774703676839504,2.0549978592988434
44,2001-11-04,183.72796478653814,18.443733211754687,0.5263719318852942
45,2001-11-05,190.26799368270207,12.258717294952957,0.9339002311446263
46,2001-11-06,151.6543600921392,3.072328879174046,2.9379372023022077
47,2001-11-07,118.28053598415956,1.0768663226585438,4.378993818143139
48,2001-11-08,132.04927436709974,-27.39699714521697,2.2546113777268797
49,2001-11-09,141.97859352694715,-16.222642710823905,0.8472507921875019
50,2001-11-10,153.16967200222828,-25.962107835387823,0.13182807062100885
51,2001-11-11,148.2707085330811,-32.50720615269896,0.27183542652204873
52,2001-11-12,145.7655947692701,-15.54040352344809,0.47529589406791056
53,2001-11-13,150.8376120474303,7.8263507696376085,1.2930850752342373
54,2001-11-14,158.81150570159195,32.24420147960388,1.8046461007217007
55,2001-11-15,168.77521104665908,33.72273881908731,0.5526680747428283
56,2001-11-16,173.8608239848145,26.164855059166733,1.6788023653189406
57,2001-11-17,157.29434261984915,19.687160467772742,6.236134279002974
58,2001-11-18,106.7825810520339,-5.398854639390866,8.331171209698603
59,2001-11-19,91.70989261747917,-51.55165720831227,1.408194740319156
60,2001-11-20,116.25903731940174,-26.792850464313286,0.8113697633836309
61,2001-11-21,118.06251548058621,-12.345112410319366,7.58122707444293
62,2001-11-22,102.28441076085265,-13.338976889775768,11.29806548106968
63,2001-11-23,80.08221236822259,-12.149865502460436,17.544500989142318
64,2001-11-24,50.39489411803286,-21.216214367436056,19.640869107933053
65,2001-11-25,27.216244907775835,-41.1723652722728,17.52916644694996
66,2001-11-26,15.46111356318512,-69.11889997169413,10.73774438298135
67,2001-11-27,-27.56617960235995,-105.81605455583362,6.69781314596367
68,2001-11-28,-44.64523781484956,-126.75108571016042,8.37300021811234
69,2001-11-29,-17.895134384519217,-101.58698404178563,11.180600710265594
70,2001-11-30,-2.789403488601752,-86.04849359819804,4.201540430367976
71,2001-12-01,33.14853168879903,-85.62386461134828,10.318130822811911
72,2001-12-02,65.11367776882467,-56.19026159345618,7.109865367787589
73,2001-12-03,81.89014209387402,-44.24141359129919,6.738538361211283
74,2001-12-04,50.400693757483914,-58.821349893377246,5.4334802023762645
75,2001-12-05,38.16312087771224,-59.63184214428664,18.810952402416312
76,2001-12-06,38.73055137373147,-86.08627437239284,14.086221441254574
77,2001-12-07,41.17077166893539,-73.7614822754496,2.807338796874449
78,2001-12-08,59.868921425300506,-70.70837644088898,1.2416513670695228
79,2001-12-09,60.24597137871424,-67.57471006941442,1.4613483365335218
80,2001-12-10,42.32582959956455,-93.691509787845,0.8207711894715163
